country,country_code,year,marriage_rate
Bulgaria,BGR,2011,2.9
Bulgaria,BGR,2012,2.9
Bulgaria,BGR,2013,3.0
Bulgaria,BGR,2014,3.4
Bulgaria,BGR,2015,3.9
Bulgaria,BGR,2016,3.8
Bulgaria,BGR,2017,4.0
Bulgaria,BGR,2018,4.1
Bulgaria,BGR,2019,4.2
Bulgaria,BGR,2020,3.2
Bulgaria,BGR,2021,3.9
Bulgaria,BGR,2022,3.9
Croatia,HRV,2000,4.9
Croatia,HRV,2001,5.1
Croatia,HRV,2002,5.3
Croatia,HRV,2003,5.2
Croatia,HRV,2004,5.3
Croatia,HRV,2005,5.1
Croatia,HRV,2006,5.1
Croatia,HRV,2007,5.4
Croatia,HRV,2008,5.4
Croatia,HRV,2009,5.2
Croatia,HRV,2010,5.0
Croatia,HRV,2011,4.7
Croatia,HRV,2012,4.8
Croatia,HRV,2013,4.5
Croatia,HRV,2014,4.6
Croatia,HRV,2015,4.7
Croatia,HRV,2016,4.9
Croatia,HRV,2017,4.9
Croatia,HRV,2018,4.9
Croatia,HRV,2019,4.9
Croatia,HRV,2020,3.8
Croatia,HRV,2021,4.6
Croatia,HRV,2022,4.7
Cyprus,CYP,2000,13.4
Cyprus,CYP,2001,15.1
Cyprus,CYP,2002,14.5
Cyprus,CYP,2003,7.7
Cyprus,CYP,2004,7.3
Cyprus,CYP,2005,8.0
Cyprus,CYP,2006,7.0
Cyprus,CYP,2007,8.3
Cyprus,CYP,2008,7.8
Cyprus,CYP,2009,7.8
Cyprus,CYP,2010,7.3
Cyprus,CYP,2011,7.3
Cyprus,CYP,2012,6.7
Cyprus,CYP,2013,6.4
Cyprus,CYP,2014,6.3
Cyprus,CYP,2015,7.2
Cyprus,CYP,2016,7.5
Cyprus,CYP,2017,6.8
Cyprus,CYP,2018,7.8
Cyprus,CYP,2019,8.9
Malta,MLT,2000,6.7
Malta,MLT,2001,5.6
Malta,MLT,2002,5.7
Malta,MLT,2003,5.9
Malta,MLT,2004,6.0
Malta,MLT,2005,5.9
Malta,MLT,2006,6.3
Malta,MLT,2007,6.1
Malta,MLT,2008,6.1
Malta,MLT,2009,5.7
Malta,MLT,2010,6.3
Malta,MLT,2011,6.2
Malta,MLT,2012,6.7
Malta,MLT,2013,6.1
Malta,MLT,2014,6.6
Malta,MLT,2015,6.7
Malta,MLT,2016,6.7
Malta,MLT,2017,6.3
Malta,MLT,2018,5.8
Malta,MLT,2019,5.3
Malta,MLT,2020,2.2
Malta,MLT,2021,4.4
Malta,MLT,2022,4.8
Romania,ROU,2000,6.1
Romania,ROU,2001,5.9
Romania,ROU,2002,5.9
Romania,ROU,2003,6.2
Romania,ROU,2004,6.7
Romania,ROU,2005,6.7
Romania,ROU,2006,6.9
Romania,ROU,2007,9.1
Romania,ROU,2008,7.3
Romania,ROU,2009,6.6
Romania,ROU,2010,5.7
Romania,ROU,2011,5.2
Romania,ROU,2012,5.4
Romania,ROU,2013,5.4
Romania,ROU,2014,5.9
Romania,ROU,2015,6.3
Romania,ROU,2016,6.8
Romania,ROU,2017,7.3
Romania,ROU,2018,7.4
Romania,ROU,2019,6.6
Romania,ROU,2020,4.2
Romania,ROU,2021,6.0
Romania,ROU,2022,6.2
